Fecha,BMV: AC *,BMV: ALSEA *,BMV: AMX L,BMV: ASUR B,BMV: BIMBO A,BMV: CEMEX CPO,BMV: FEMSA UBD,BMV: GMEXICO B,BMV: GRUMA B,BMV:OMA B,BMV:WALMEX *,BMV:AUTLAN B,BMV:GISSA A,BMV: Bachoco B,BMV:VITRO A,BMV: GAP B,BMV:GFNORTE O,BMV:HERDEZ *,MXN
8/24/2012,81.5,18.45,16.87,112.9,30.74,8.7453,109.9,41.12,36.4,29.54,36.08,13.21782,16.1,25.15,16.5,52.8,68.65,31.45,1
8/31/2012,83.21,18.93,16.98,111.84,29.55,8.11242,111.8,39.39,35.9,28.44,35.43,13.18812,16.37,24.75,17.9,52.99,67.53,31.4,1
9/7/2012,83.9,18.46,16.79,113.67,30.44,8.6138,112.49,41.63,33.9,27.92,35.78,13.71287,17.95,25.4,16.32,54.05,69.01,31.93,1
9/14/2012,89.98,18.82,16.41,112.69,30.99,8.7453,116.14,43.35,35.5,28.39,36.77,14.20792,20.35,25.39,15.73,52.55,72.18,32.14,1
9/21/2012,91.43,18.7,16.31,109.79,30.94,8.959,118.45,41.6,35.1,28.97,36.77,14.46535,21,25.07,16,51.38,69.92,33.33,1
9/28/2012,91.5,20.02,16.43,113.99,32.13,8.80284,118.97,42.54,36.4,29,36.2,14.29703,20.4,25.91,15.7,54.1,72.8,33.14,1
10/5/2012,95.73,20.5,16.9,119.14,32.2,9.54257,122,43.09,37.9,29.1,37,13.40594,20.3,25.4,16.5,54.5,77.75,34.79,1
10/12/2012,98.2,21.5,16.65,117.38,31.46,9.35353,120,41.7,36.6,28.85,37.78,13.33663,21,25.72,16.8,55.71,76.95,35.19,1
10/19/2012,103.79,21.95,16.99,127.43,32.63,9.48504,123.53,41.73,38,30.11,39.1,13.36634,21.74,25.81,16.77,60.89,73.7,36.47,1
10/26/2012,95.9,20.75,16.71,129.74,32.3,9.69052,119.24,42.02,38.59,31.3,38.8,13.38614,23.45,28,17.29,61.21,72.4,35.84,1
11/2/2012,95.51,21.48,16.56,128.33,31.77,10.05217,118.18,42.29,38.09,31.3,38.66,13.29703,23.45,28.12,19.1,62.13,73.45,35.51,1
11/9/2012,94.84,20.7,15.73,137.69,30.54,9.39462,117.1,40.88,36.88,30.4,38.34,12.86139,23.3,28.68,18.95,64.79,70.81,36.03,1
11/16/2012,94.49,20.22,15.33,132.51,31.25,9.29599,122.28,40.7,36.5,29.75,39.4,12.89109,23.4,28.17,18.7,64.49,72.07,36.11,1
11/23/2012,96.36,21.18,15.73,135.06,31.24,9.73161,127,42.1,37.75,30.66,40.3,12.77228,24,28.8,18.19,65.58,74.29,36.1,1
11/30/2012,93.03,22.7,15.29,132,30.6,9.49326,127.18,42.4,36.59,32.83,40.59,12.67327,23.95,28.17,17.18,66.5,74.39,36.3,1
12/7/2012,96.98,23.96,14.8,139.32,31.24,9.59189,128.35,45.61,37.17,35.94,42.9,12.55446,23.44,28.5,17,68.15,79.24,36.08,1
12/14/2012,95.59,24.8,15.17,145.37,31.85,9.66586,126.08,45.09,38.89,36.6,42.15,12.71287,24.25,29.97,16.22,69.15,81.77,38.48,1
12/21/2012,95.49,25.11,15,143.69,32.45,10.43025,129.01,46.98,39.03,35.95,42,13.45545,24.25,28.95,16.2,73.17,81.51,39.49,1
12/28/2012,96.1,25.59,15,145.98,32.73,10.42203,131.42,46.8,39.3,35.3,42.44,13.31683,24.4,30.08,16.75,73.64,83.81,39.6,1
1/4/2013,97.2,27.22,15.44,154.54,34.22,10.84122,129.52,48.94,39.99,37.3,41.74,13.31683,25.5,29.1,16.79,74.84,84.06,40.89,1
1/11/2013,96.29,28.5,15.54,151.6,32.67,10.92341,134,47.58,42.7,38.31,41.99,14.05941,25.3,29.64,18.99,75.65,85.17,40.9,1
1/18/2013,95.99,28.89,15.55,153.81,32.9,10.80834,135.37,49.06,43.98,39.95,41.36,13.84158,27.75,29.2,18.98,77.94,89.5,40.16,1
1/25/2013,96,28.62,15.87,153.48,33.4,11.18643,138.45,49.79,43.36,40.31,41.08,13.75248,29.99,29.31,18.5,79.02,89.78,39.96,1
2/1/2013,96.6,29.45,16.2,152.85,32.94,11.38369,139.99,48.9,42.35,43.5,41.85,13.83168,30.5,29.47,20.84,79.36,87.69,40.31,1
2/8/2013,94,28.33,16,150.65,31.62,10.91519,139.08,49.43,41.83,43.43,41.4,13.35644,30.1,30.1,22,79.13,87.9,39.72,1
2/15/2013,94.14,29.99,14.27,153.69,32.98,11.42478,140.5,49.49,41.4,43.5,42,12.46535,30,31.04,26.3,80.19,87,38.62,1
2/22/2013,93.77,30.8,13.96,160,33.39,10.85766,145.14,49.58,43.35,42.44,39.35,12.67327,31.48,31.99,29,79.7,89.89,40.33,1
3/1/2013,95.89,32.2,13.35,167.38,34.75,11.55629,140.08,50.93,44.84,44.6,39.81,11.17822,30.5,31.92,31.68,78.69,92.67,39.43,1
3/8/2013,94.63,32.55,13.61,170.6,35.49,12.38644,138.95,50.74,47.86,44.8,40.1,10.9802,30.14,32,35.3,78,90.35,40.3,1
3/15/2013,92.25,32.25,11.64,163.78,34.55,12.73165,139.28,51.68,52.73,46.6,38.38,10.88119,29.91,33.5,30,67.9,98.3,42.38,1
3/22/2013,90.92,32.39,12.58,165.54,36.65,12.45219,133.15,49.23,56.45,46.53,38.51,10.61386,29.74,34,30.25,69.21,95.01,43.12,1
3/29/2013,92.55,35.48,13.09,167.82,39.49,12.35356,138.97,49.89,54.61,49.85,40.4,10.77228,28.7,32.92,30.85,72.82,98.68,45.4,1
4/5/2013,100.15,37.24,12.35,170.91,39,12.46041,143.19,48.14,53.5,52.35,39.55,10.75248,28.4,34.08,29.4,80.22,91,44.5,1
4/12/2013,99.17,36.99,12.7,165.29,38.85,12.18096,151.38,49.14,53.8,51.34,39.41,10.83168,28.27,32.79,29.4,77.24,96.01,44.6,1
4/19/2013,101.5,36.85,12.46,165.89,40.62,11.49054,149.42,42,53.84,47.9,39.23,9.90099,28.25,33.43,29.48,69.46,95.58,44,1
4/26/2013,96.72,37.45,12.59,145,40.29,12.00145,139.25,42.63,63.24,47.24,38.42,10.65347,28,34.63,29.74,67.04,90.18,45.5,1
5/3/2013,101.6,35.89,13.25,143.83,39.3,12.30063,142.38,43.65,59.87,45.3,38.79,11.47525,28,34.33,28.83,68.45,90.24,43.2,1
5/10/2013,101.68,35.5,12.81,141.78,38.22,12.42885,139.75,42.34,64.27,48.47,36.35,11.88119,27.8,34.78,29.5,68.19,89.98,43.36,1
5/17/2013,104.37,36.1,12.77,144.79,37.6,13.01867,142.57,41.36,60.58,47,36.71,11.9802,27.5,35.38,28.78,67.48,91.58,42.38,1
5/24/2013,99.86,33.94,12.58,145.19,36.15,12.27499,134.4,39.39,59.99,44.9,37.15,10.58416,27.4,37.02,26.95,67.06,86.6,39.82,1
5/31/2013,101.1,35.87,12.84,153,37.82,12.67675,139.08,42.3,57.37,45.04,37.65,11.08911,26.7,36.9,28,67.5,81.69,39.99,1
6/7/2013,98.42,33.89,12.9,146.8,37,11.95016,132.77,40.17,56.11,44.08,36.45,10.88119,27.25,36.34,28,64.18,83,41.12,1
6/14/2013,98.88,33.74,12.83,142.94,36.54,11.39454,128.62,37,57.11,39.6,36.25,9.63366,27,35.83,27,59.02,75.39,38.54,1
6/21/2013,93.99,29.83,12.69,138.4,35.42,11.16374,122.65,35.6,59.38,38.12,34.99,8.48515,26.6,35.16,27,58.43,72.29,39.43,1
6/28/2013,99.32,30.85,14.11,144.73,39.3,11.74501,134.05,37.5,58.95,42.49,36.32,8.21782,27.41,37.29,27.3,65.9,77.39,41.27,1
7/5/2013,98.1,32.87,13.82,150.18,39.35,11.67662,134.5,38.6,59.81,42.13,36.98,8.30693,26.84,38.77,26.98,63.69,74.08,42.02,1
7/12/2013,96.08,32.12,13.71,147.41,40.26,12.40321,131.59,38.77,59.27,41.18,36.05,8.65347,27.17,41.8,26.5,65.77,72.98,40.49,1
7/19/2013,94.36,34.35,13.09,150.65,40.86,12.21515,127,39.98,59.36,41.45,35.28,8.09901,27,43.4,25.75,63.2,82.4,40.99,1
7/26/2013,98.81,36.06,13.73,151.08,43.92,12.6511,127.24,39.28,64.91,44.84,35.87,7.50495,26.49,42.5,24.88,65.28,81.26,41.59,1
8/2/2013,99.48,36.07,13.35,157.14,45.7,12.91609,132.38,41.4,68.99,45.18,35.57,8.29703,26.18,44,25.5,71.89,84.79,43.09,1
8/9/2013,96.1,37.2,13.25,159.49,45.93,13.12979,134.03,42.41,70.17,48.54,35.22,7.92079,26,44.7,25.9,71.34,89.65,44.64,1
8/16/2013,92.17,35.12,13.3,152.15,42.84,13.34349,126.29,44.11,67.5,45.53,35.62,7.82178,25.25,43.94,27.55,69.4,83.99,45.06,1
8/23/2013,90.57,33.98,13.06,148.63,40.05,13.48026,126.75,42.03,71.02,46.58,34.01,7.28713,24.77,44.4,29.6,67.48,82.75,44.5,1
8/30/2013,85.78,34,12.93,149.34,38.89,12.79642,126.1,38.2,69,45.8,32.1,7.0495,23.5,42.75,29.3,66.92,82.27,42.8,1
9/6/2013,84.79,34.14,12.75,150.22,38.99,12.82206,130.49,38.78,73.85,45.6,32.32,7.43564,22.7,41.42,30.55,68.9,81.1,43.65,1
9/13/2013,88.4,35.37,13.21,148.46,41.83,12.96738,131.19,40.1,73.85,45.46,34.75,7.86139,22.8,44,28.52,67.8,83.41,43.7,1
9/20/2013,88.3,35.39,12.9,149.98,40.79,12.97593,132.8,42.24,71.78,43.83,34.64,8.67327,22.62,43.79,29.5,66.85,85.19,45.12,1
9/27/2013,85.8,36.94,13.22,146.49,41.23,12.70239,129.09,40.52,73.61,44.89,34.95,10.11881,22.74,42.6,29.7,68.09,81.91,44.76,1
10/4/2013,84,37.3,13.38,149.51,41.8,12.77077,129.1,39.86,76.9,45.6,33.15,10.28713,22.2,42.63,29.7,69.2,84.81,45.31,1
10/11/2013,82.35,41.39,13.71,153.09,42.47,12.04419,125.3,41.95,79.45,46.1,34.28,8.89109,23,44.25,29.68,70,81.75,44.95,1
10/18/2013,79.9,39.7,13.82,152.02,41.03,11.86468,120.25,41.08,80.21,44.25,34.15,9.23762,22.69,43.98,29.49,68.46,82.61,44,1
10/25/2013,78.6,40,13.62,158,43.16,12.35192,121.75,41.5,84.48,43.27,33.89,9.10891,21.87,43.56,28.65,69.49,82.8,43.3,1
11/1/2013,77.99,41.27,14.1,159.58,43.47,11.75356,122.57,41.69,89.76,44.59,34.14,9.06931,22.8,44.37,30,68.64,83,45.92,1
11/8/2013,75.37,39.25,13.82,156,41.59,11.71082,118.93,39.85,88.5,43.26,32.55,8.93069,22.65,44.52,29.97,65.8,81.17,44.51,1
11/15/2013,75.38,40.46,14.32,167.18,42.46,12.08693,122.5,38.99,91.22,43,33.78,8.9901,22.5,44.9,29.99,65.92,84.6,45,1
11/22/2013,81.05,38.75,15.08,162.99,40.7,11.85613,119.18,38.98,91.79,43.51,33.62,8.87129,23,43.82,29.88,65.61,84.94,44.1,1
11/29/2013,82.37,39.5,15.18,173.99,40.9,12.35192,126.29,38.92,92,44.94,34.76,8.83168,23.5,43.15,29.4,68.99,89.49,46.2,1
12/6/2013,81.73,39.88,14.44,171.39,41.03,12.74513,121.27,39.75,91.14,45.6,34.85,9.75248,23.7,43.5,30.2,70.66,91.99,45.81,1
12/13/2013,82.9,39.76,14.41,167.08,38.52,12.64255,122.31,40.45,95.73,44.97,34.28,9.9505,23.9,44.63,32.5,68.73,94.66,44.7,1
12/20/2013,78.24,40.61,14.72,169.59,38.72,12.97593,124.79,43.39,97.53,43.79,34.31,9.73267,23.75,45.14,33.4,68.52,90.57,44.1,1
12/27/2013,81,40.36,15.28,163.6,39.74,13.12124,127.65,43.29,97.98,44.39,34.19,9.90099,23.59,43.91,33.6,68.9,90.04,47.75,1
1/3/2014,80.71,40.97,14.85,154,38.61,12.90754,123.45,42.39,103.89,43.74,33.25,10.0396,23.5,44.78,33.2,66.18,92.49,47.4,1
1/10/2014,79.3,42.58,14.35,152.4,36.75,13.9675,126,43.36,104.38,44.7,33.49,10.07921,23.39,50.27,33.75,70.66,93.2,47.5,1
1/17/2014,75.81,42.55,14.46,153.55,36.15,14.15555,123.41,43.34,106.67,45.18,32.74,10.64356,23.91,49.74,32.99,70.09,90.49,46.25,1
1/24/2014,73.3,40.56,14.25,153.98,34.78,14.24959,121.69,41.67,105.6,42.39,31.73,10.78218,24.15,48.07,32.75,71.2,89.49,44.3,1
1/31/2014,73.52,39.89,14.27,150.79,35.69,14.13846,120.99,43.3,109,41.53,32,10.58416,24,47.3,32.51,72.75,84.45,41.98,1
2/7/2014,71.01,37.9,14.2,146.53,35.39,14.61715,121.29,43.69,106.49,42.2,29.77,9.63366,24.5,45.75,32.75,70.44,85.8,39.3,1
2/14/2014,72.76,41.97,14.09,146.33,35.74,14.77956,120.09,44.09,107.86,43.41,30.79,10.77228,24.9,47.51,32.75,71.41,86.65,40.14,1
2/21/2014,72.55,41.2,13.38,142.67,35.09,15.01891,118.09,41.85,107.5,41.66,28.76,10.50495,25.5,46.99,32.75,69.94,87.56,39.64,1
2/28/2014,69.48,41.1,12.86,147.7,34.89,14.86504,113.78,40.76,105.04,40.9,28.07,10.39604,25.9,46.35,32.6,71.19,86.27,35.23,1
3/7/2014,71.69,40.13,12.97,154.56,34.8,14.65989,112,40.37,108.7,42.46,29.31,10.82178,25.7,47.99,32.49,69.63,83.85,36.07,1
3/14/2014,74.55,41.45,13.13,148.26,32.63,13.66832,110.19,37.35,106.88,44.28,28.75,10.77228,25.3,47.2,32,70.6,80.75,34.79,1
3/21/2014,76.17,47.37,13.39,156.69,35.9,14.6257,117.47,38.99,106.81,46.22,30.1,10.62376,26.5,47.36,33.04,72.88,84,37.03,1
3/28/2014,77.34,47.2,12.64,160.29,35.39,14.11282,121.7,40.45,107.77,46.55,30.87,10.81188,27.39,47.94,32,76.62,85.99,38.99,1
4/4/2014,76.26,47.8,13.56,159.27,35.41,15.08729,118.36,41.01,108.65,48.91,30.79,11.92079,26.5,48.04,33.7,76.34,84.61,37.65,1
4/11/2014,78.14,46.45,13.07,161.75,35.93,14.34361,120.74,41.36,108.06,49.51,32.29,13.11881,26.99,48,34.45,75.7,83.44,37.53,1
4/18/2014,81.81,46.72,12.89,165.24,35.97,14.56586,124.08,41.16,107.41,50,33.4,13.59406,27,48.13,34.45,77.46,86.03,37.79,1
4/25/2014,80.37,45.52,13,163.49,37.13,14.49953,119.32,38.74,114.78,49.9,32.96,13.84158,27.85,47.59,34.9,79.31,83.98,39.07,1
