Fecha,Fecha del pronostico,BMV: AC *,BMV: ALFA A,BMV: ALSEA *,BMV: AMX L,BMV: ASUR B,BMV: BIMBO A,BMV: CEMEX CPO,BMV: CHDRAUI B,BMV: FEMSA UBD,BMV: GAP B,BMV: GMEXICO B,BMV: GRUMA B,BMV: ICH B,BMV: KIMBER A,BMV: LAB B,BMV: LIVEPOL C-1,BMV: MEXCHEM *,BMV: OHLMEX *,BMV: PE&OLES *,BMV: ACCELSA B,BMV:ACTINVR B,BMV:AEROMEX *,BMV:CIDMEGA *,BMV:CIE B,BMV:ARA *,BMV:AUTLAN B,BMV:AXTEL CPO,BMV:AZTECA CPO,BMV: Bachoco B,BMV:BOLSA A,BMV:CERAMIC B,BMV:CMOCTEZ *,BMV:CMR B,BMV:CULTIBA B,BMV:CYDSASA A,BMV:DINE B,BMV:ELEKTRA *,BMV:FINAMEX O,BMV:FINDEP *,BMV:FRAGUA B,BMV:GBM O,BMV:GCARSO A1,BMV:GCC *,BMV:GENTERA *,BMV:GFAMSA A,BMV:GFINBUR O,BMV:GFINTER O,BMV:GFNORTE O,BMV:GFREGIO O,BMV:GIGANTE *,BMV:GISSA A,BMV:GMD *,BMV:HERDEZ *,BMV:IDEAL B-1,BMV:INVEX A,BMV:KUO B,BMV:LAMOSA *,BMV:MASECA B,BMV:MEDICA B,BMV:MEGA CPO,BMV:MFRISCO A-1,BMV:OMA B,BMV:PAPPEL *,BMV:PASA B,BMV:PINFRA *,BMV:POCHTEC B,BMV:PROCORP B,BMV:RASSINI A,BMV:RCENTRO A,BMV:SANMEX B,BMV:SARE B,BMV:SIMEC B,BMV:SORIANA B,BMV:SPORT S,BMV:TLEVISA CPO,BMV:VALUEGF O,BMV:VASCONI *,BMV:VITRO A,BMV:WALMEX *,BMV:AUTLAN B2,MXN
8/24/2012,8/16/2013,92.03,37.16,35.02,13.28,152.25,42.71,13.31785,42.09,126.13,69.33,43.98,67.75,83.66,40.94,30.57,149.6,61.46341,35.44,475.84,7.95,13.15,18.13,18,8.68,5.52,7.81188,4.17,6.1,43.98,34.98,27.5,40.46,4.9,34.13,16.25694,4,470.39,33.2,4.97,234.98,8.92,67.75,42.75,22.83,27.07,31.22,74.8,83.71,79.67,24.8,25.08,7.32,44.99,30.84,42,27,24.26475,21.5,33.5,39.89,31.83,45.55,26.19,18.4,137.62,21.61,7.35,4.4,14.1,39.67,0.424,52.81,42.31,18.91,71.02,83.75,17.99,27.1,35.57,7.26733,1
8/31/2012,8/23/2013,90.29,35.56,34.03,13.04,148.39,40.01,13.48881,40.36,126.73,67.12,42.03,71.04,77.25,38.96,30,138.04,58.02927,35.21,434.66,7.95,13.15,18.16,18,8.68,5.6,7.26733,4.05,5.79,44.12,32.38,27.5,40.55,4.9,33.56,16.24988,4.1,444.45,33.2,4.8,234.3,8.89,68.47,40.17,23.87,26.67,30.01,74,82.54,79.78,25.5,24.77,7.37,44.5,30.72,42.5,26.75,24.65299,21.48,33.3,40.27,31.66,46.68,25.76,18.4,135.85,20.75,7.35,4.24,15,39.24,0.404,48.75,42.87,18.74,69.78,83.75,15.01,29.49,34.01,7.0396,1
9/7/2012,8/30/2013,84.59,33.75,33.79,12.86,149.95,38.85,12.96738,38.18,126.48,66.63,38.2,69.11,76.78,37.86,28.64,140.14,51.90244,34.75,407.8,7.95,13.2,18.11,18,8.67,5.35,7.0396,4.34,6.64,42.43,31.49,27.5,41.2,4.9,31.82,16.25694,4.1,436.35,33.2,4.6,230,8.8,65.98,39.86,23.43,26.78,28.48,74,83.49,79.42,25.5,23.5,7.45,42.7,27.97,42.5,26.8,24.65299,21.33,33.3,40.41,36.29,45.35,28.3,18.4,130.36,17.7,7.35,4.41,14.49,36.39,0.439,49.01,41.57,17.73,67.04,82,15.01,28.79,32.04,7.42574,1
9/14/2012,9/6/2013,84.87,35.99,34.07,12.74,149.93,38.59,12.84771,38.23,130.39,68.87,38.55,73.6,74.19,38.08,28.39,136.92,54.99512,34.26,408.29,7.95,13.19,17.97,18,8.67,5.36,7.42574,4.22,6.95,41.04,31.6,27.5,38.9,4.9,31.59,16.32763,4,425.46,31.55,4.63,231.75,8.8,67,40.99,23.63,25.77,29.87,74,80.91,77.22,25.5,22.5,7.63,43.62,29.5,42.5,27.15,24.65299,21.29,33.4,41.2,36.68,45.52,29.41,18.4,125.67,18.18,7.35,4.1,14.7,35.87,0.456,47.44,41.49,17.27,71.41,87.95,15.01,30.5,32.31,7.87129,1
9/21/2012,9/13/2013,88.42,38.02,35.26,13.22,148.04,41.89,12.97593,40,131.33,68.3,39.99,73.64,76.97,37.74,28.44,145.89,58.90732,36.28,405.4,7.95,13,18.29,17.5,9.1,5.75,7.87129,4.5,7.25,43.97,31.34,27.5,40.48,4.9,31.18,16.39831,4,441.72,33.75,4.65,230,8.9,68.97,40.5,24.37,26.11,30.87,74,82.94,75.96,25.37,22.8,7.26,43.45,29.29,42.5,26.94,24.65299,21.78,33.5,42.91,34.7,45.47,31.37,18.45,126.04,19.23,7.35,4.5,14.7,36.64,0.455,50.12,41.4,17.49,72.55,94.9,14.01,28.48,34.79,8.68317,1
9/28/2012,9/20/2013,88.53,36.69,35.39,12.87,149.88,40.65,13.01012,39.48,133.01,66.82,42.2,71.61,78.9,38.91,28.39,146.28,58.81951,34.68,402.36,7.95,13.3,17.7,17.5,9.1,5.52,8.68317,4.25,7.57,43.63,31.35,27.5,38.82,4.9,32.27,16.50433,4,436.06,33,4.8,229.5,8.9,68.12,40.24,24.63,26.02,30.55,74,85.23,76.64,25.45,22.25,7.48,45.09,29.93,42.5,26.86,24.65299,21.69,33.25,43.95,34.8,43.39,33.97,18.45,126.91,19.37,7.35,4.5,14.7,37.45,0.436,52.59,40.48,17.47,73.98,94.9,13.7,29.25,34.59,10.14851,1
10/5/2012,9/27/2013,86.13,36.67,36.91,13.2,146.65,41.06,12.71949,42.08,129.08,67.91,40.52,73.44,78.59,38.86,29.06,148.98,57.3561,34.86,396.34,7.95,13.26,18.68,20,9.5,5.44,10.14851,4.13,7.72,42.57,31.63,27.5,39.28,4.9,30.71,16.61389,4,432.76,33.7,5,227,8.9,68.04,40.49,24.76,24.84,30.83,74,81.79,76.36,26.9,22.74,7.24,44.8,29.67,42.5,25.62,26.01182,21.96,33.3,42.58,34.68,44.79,34.81,18.5,130,19.06,7.35,4.49,15,36.62,0.422,52.61,42.6,17.48,73.47,94.9,14.6,29.7,34.92,10.25743,1
10/12/2012,10/4/2013,83.88,36.48,37.33,13.37,149.08,41.79,12.75368,39.07,129.04,69.08,39.95,76.9,78.62,38.55,31.86,143.95,55.66829,34.62,384.16,7.95,13.31,18.76,21,9.5,5.36,10.25743,4.11,7.59,42.37,31.39,27.5,38.01,4.89,30.55,16.72698,4,431.22,33,4.99,223,8.9,68.96,40.26,24.49,25.79,32.52,74,84.65,74,26.5,22.2,7.23,45.23,29.34,42.5,23.73,26.01182,21.6,32.99,41.85,34.06,45.49,34.9,18.45,129.61,19.11,7.35,4.57,14.5,36.14,0.413,50.96,40.22,17.44,74.35,94.15,15.15,29.69,33.15,8.88119,1
10/19/2012,10/11/2013,82.35,36.05,40.96,13.7,152.78,42.38,12.02709,40.89,125.13,69.96,41.93,79.53,78.69,38.93,32.18,144.34,53.08293,33.77,373.81,7.95,13.45,18.61,21,9.5,5.13,8.88119,4.15,7.49,44.13,30.33,27.5,38,4.89,29.9,16.61036,4,423.82,35,5.05,227,8.6,70.04,40.24,24.79,23.88,33.51,74,81.92,70.98,26.6,22.64,7.3,44.95,28.83,42.5,23.29,26.01182,21.89,33,42.27,34.6,46.09,33.72,18.45,132.08,18.61,7.35,4.57,14.5,36.35,0.405,52.34,42.22,17.2,76.98,94.15,15.66,29.68,34.16,9.18812,1
10/26/2012,10/18/2013,79.76,34.29,39.62,13.81,151.3,41,11.85613,41.58,120.03,68.48,41.12,80.25,73.03,38.74,32.89,142.97,52.96585,33.35,376.6,7.95,13.4,18.12,21.5,9.5,4.86,9.18812,4.05,7.36,43.95,28.88,27.5,37.6,5,28.5,16.61036,4,414.91,34.98,4.91,228.47,9,70.42,40.24,22.82,24.05,33.32,61.06,82.73,70.88,26.6,22.15,7.3,43.93,28.13,42.5,23.35,26.01182,22.5,33,42.36,34.49,44.33,33.12,18.4,127.81,18.8,7.35,4.57,14.5,35.13,0.413,50.7,42.2,17.13,77.41,94.9,15.21,29.5,34.14,9.09901,1
