Fecha,BMV: AC *,BMV: ALFA A,BMV: ALSEA *,BMV: AMX L,BMV: ASUR B,BMV: BIMBO A,BMV: CEMEX CPO,BMV: CHDRAUI B,BMV: FEMSA UBD,BMV: GAP B,BMV: GMEXICO B,BMV: GRUMA B,BMV: ICH B,BMV: KIMBER A,BMV: LAB B,BMV: LIVEPOL C-1,BMV: MEXCHEM *,BMV: OHLMEX *,BMV: PE&OLES *,BMV: ACCELSA B,BMV:ACTINVR B,BMV:AEROMEX *,BMV:CIDMEGA *,BMV:CIE B,BMV:ARA *,BMV:AUTLAN B,BMV:AXTEL CPO,BMV:AZTECA CPO,BMV: Bachoco B,BMV:BOLSA A,BMV:CERAMIC B,BMV:CMOCTEZ *,BMV:CMR B,BMV:CULTIBA B,BMV:CYDSASA A,BMV:DINE B,BMV:ELEKTRA *,BMV:FINAMEX O,BMV:FINDEP *,BMV:FRAGUA B,BMV:GBM O,BMV:GCARSO A1,BMV:GCC *,BMV:GENTERA *,BMV:GFAMSA A,BMV:GFINBUR O,BMV:GFINTER O,BMV:GFNORTE O,BMV:GFREGIO O,BMV:GIGANTE *,BMV:GISSA A,BMV:GMD *,BMV:HERDEZ *,BMV:IDEAL B-1,BMV:INVEX A,BMV:KUO B,BMV:LAMOSA *,BMV:MASECA B,BMV:MEDICA B,BMV:MEGA CPO,BMV:MFRISCO A-1,BMV:OMA B,BMV:PAPPEL *,BMV:PASA B,BMV:PINFRA *,BMV:POCHTEC B,BMV:PROCORP B,BMV:RASSINI A,BMV:RCENTRO A,BMV:SANMEX B,BMV:SARE B,BMV:SIMEC B,BMV:SORIANA B,BMV:SPORT S,BMV:TLEVISA CPO,BMV:VALUEGF O,BMV:VASCONI *,BMV:VITRO A,BMV:WALMEX *,BMV:AUTLAN B2,MXN
8/24/2012,130852.3729,113270.2459,11981.6609,1283108.223,33792,144481.6398,115766.5172,32667.15425,393282.8493,27809.75944,320119.2,20483.0668,31653.64046,86167.65423,29020.90965,145373.2596,114984.2485,30201.96385,222399.6064,1451.662541,5799.75,15278.37585,861.48361,3635.650265,4762.563471,3573.083433,2969.052458,25340.6304,0,15234.17769,3311.841483,26409.354,727.0997004,19856.60406,6166.887241,2129.70868,140019.6313,1722.181069,2924.597087,20663.391,12000,97660.04251,14262.44802,22792.0616,6284.78443,242546.4768,13470.00231,159239.342,15707.91071,21276.46508,6031.117477,703.8440227,13564.8,62430.62343,5426.948158,11902.02919,5306.656055,13913.83575,2958.762,24320.29203,125920.0901,11710.40173,2308.069819,1413.112716,25482.73801,2064.678618,250.84171,946.80629,2270.007612,95009.52874,804.1992777,0,72234,1204.37085,144876.361,12320,1542.104227,5719.78506,639584.3073,3597.353734,0
8/31/2012,133445.9014,108039.6053,12227.63773,1290727.631,33246,134981.2195,106083.1027,30874.26824,397862.979,27624.00723,304549.2,20229.42398,31636.20524,84023.70967,27714.60295,143870,108190.2367,28858.99115,214108.2623,1451.662541,5852,14468.92547,861.48361,3663.616806,4502.314101,3597.353734,2906.41422,24504.89701,0,15370.46166,3318.348048,27289.6658,747.0886956,19856.60406,6156.03882,2182.951397,126383.5433,1722.181069,3058.140333,20663.391,12000,99400.2918,14299.02693,21946.68332,6153.027943,238412.9195,13706.31814,156494.2372,15606.25199,22370.11515,6136.006477,740.6788584,13543.2,63976.52458,5426.948158,12504.43251,5306.656055,13959.756,2958.762,24887.67955,128541.8344,11347.19568,2308.069819,1439.28147,25920.79551,2064.678618,250.84171,946.80629,2270.007612,203591.8473,783.5787834,0,70776,1220.429128,144093.502,12160,1542.104227,5650.454332,624499.7717,3716.006117,0
9/7/2012,133864.7321,113208.2225,11891.03786,1280822.401,34071,143117.7181,113916.964,31057.41251,401512.7698,28611.14755,323856,19158.48763,32551.55425,89036.75652,28696.94559,144460.5662,112229.9235,30082.5885,231378.5836,1451.662541,5747.5,14078.65475,861.48361,3747.516427,4801.600877,3716.006117,3044.218343,25758.4971,0,15915.59754,3318.348048,26409.354,747.0886956,21286.27956,6329.649375,2182.951397,123657.2749,1835.827384,3024.754522,20662.40703,12000,96515.14166,14299.02693,22725.75742,6557.08117,231145.859,13706.31814,160309.4676,14737.23397,22370.11515,6649.213368,732.7145696,13780.8,61865.77493,5426.948158,12504.43251,5235.90285,13978.1241,2927.941563,24775.9214,129992.7027,11107.71916,2305.170234,1452.365847,26193.68378,2307.216167,250.84171,946.80629,2270.007612,217164.6371,769.8317872,0,73620,1196.341711,143808.826,12160,1543.829176,5636.588186,636212.4699,3856.235127,0
9/14/2012,145527.556,118278.636,12137.01469,1251868.652,33705,145422.2755,115331.266,30999.57747,415968.8039,27772.609,337635.45,19987.05418,33772.01959,95405.53301,29229.91872,148299.2471,111605.6028,30231.80769,246256.1009,1451.662541,5799.75,14461.69824,861.48361,3758.703043,5322.099617,3856.235127,3307.29894,26176.36379,0,15808.94052,3318.348048,26057.22928,749.58732,21286.27956,6496.029356,2182.951397,127738.373,1792.117363,2871.179789,20931.03111,12280,99468.98585,13966.49142,23322.49503,6482.41916,237279.5247,13706.31814,167218.7568,15242.24822,22668.38335,7623.18265,732.7145696,13858.56,64184.62666,5426.948158,12413.15928,5129.76752,13941.3879,2958.762,24827.50208,134930.7454,11271.36145,2513.940368,1454.982722,25852.57344,2325.872901,250.84171,934.3483125,2302.552524,217164.6371,769.8317872,0,73638,1202.765022,146323.464,12160,1535.204432,5407.796784,650942.0752,3942.528016,0
9/21/2012,146929.0279,117074.3482,12104.64932,1242725.363,32931,146080.7205,118704.1987,31703.23704,422588.5225,27204.73796,323311.05,19795.41294,33248.96301,90644.71494,26303.79171,149440.1138,111917.7537,31186.8105,245767.2057,1451.662541,5841.55,14382.19865,861.48361,3758.703043,5244.024806,3942.528016,3983.791905,25728.64947,0,15731.91045,3318.348048,24666.33664,749.58732,22239.39655,6691.346988,2182.951397,120250.0324,1792.117363,2804.408166,20176.32536,12280,98667.55525,14465.29469,24466.24212,6254.04125,236146.13,14060.79189,161356.3296,15576.73818,22668.38335,7840.45272,721.7636725,14368.32,62460.3523,5465.99095,12321.88605,5129.76752,13941.3879,2958.762,24930.66345,136661.6058,11482.89904,2505.241613,1458.908036,25339.11261,2481.345689,250.84171,934.3483125,2302.552524,232094.7059,776.7052853,0,74394,1196.341711,141056.958,12160,1526.579688,5445.928684,652184.3311,3888.59462,0
9/28/2012,147380.0763,122806.3447,12972.0413,1252630.593,34119,150689.8353,116528.207,31558.64946,424234.5066,28791.59255,330706.8,20528.15886,33340.49792,96950.43424,26011.17901,152647.9625,112652.2542,31007.74747,252031.4236,1451.662541,5878.125,14447.24376,862.1462897,3775.482968,5231.012337,3888.59462,3996.319553,26474.84,0,15725.98506,3318.348048,24868.80835,762.080442,23827.92488,6691.346988,2182.951397,125294.4596,1792.117363,2791.053841,20466.5968,12900,101071.847,14189.29021,25013.2516,6192.554889,240146.3468,14415.26563,169265.9536,15907.94882,23861.45616,7641.912828,715.7904559,14307.84,63590.04929,5465.99095,12435.97759,5129.76752,14143.437,2959.994818,25790.3415,138392.4661,11546.75944,2743.007599,1473.30085,25375.01896,2400.499839,250.84171,934.3483125,2302.552524,237998.8695,790.4522815,0,75402,1190.721314,144164.671,12160,1526.579688,5425.129466,642601.2144,3648.590733,0
10/5/2012,153662.5367,120738.8978,13250.3835,1286917.927,35829,150219.5175,126646.8728,32792.46348,436257.3468,28908.35108,334677.15,21277.8143,35105.81386,97297.2488,26857.66575,156339.0017,111715.7825,32410.40785,255314.5733,1451.662541,5867.675,14367.74417,889.3161574,3635.650265,5270.049743,3648.590733,3933.681315,26683.77335,0,17100.67554,3318.348048,25529.0422,762.080442,24781.04187,6872.193236,2182.951397,132706.8728,1792.117363,2804.408166,20220.60405,13600,105811.7366,14930.8444,26704.00817,6917.215568,244213.2338,14415.26563,180479.0088,15904.66951,23861.45616,7604.452471,706.830631,14999.04,65254.86592,5465.99095,12550.06913,5129.76752,14005.67625,2958.762,27062.66501,138672.4582,11610.61985,2983.673171,1478.534601,24175.7468,2624.380653,250.84171,934.3483125,2229.326472,244310.2168,783.5787834,0,75384,1190.721314,144781.469,12160,1535.204432,5567.257458,656443.494,3621.624035,0
10/12/2012,158076.3678,121720.9351,13832.96021,1267107.467,35118,147820.8965,123600.3785,33322.61795,428993.5475,29486.83654,324556.65,20629.61599,33972.52461,97833.23494,26742.71076,156701.3947,118344.5435,32917.75309,254988.6431,1451.662541,5799.75,13897.97387,889.3161574,3635.650265,5087.875184,3621.624035,3921.153668,26265.90666,0,17248.81029,3318.348048,26409.354,762.080442,24145.63054,7671.537642,2182.951397,129154.8937,2096.340305,2730.959381,20171.4055,13780,103659.323,14727.99774,25560.26108,7119.242181,234879.3947,14415.26563,179199.5108,16524.45972,23861.45616,7866.67497,703.8440227,15167.52,64303.54213,5465.99095,12828.45248,5306.656055,13867.9155,2958.762,27079.85858,138952.4503,11510.83797,3256.23418,1481.151476,24552.7635,2817.16691,250.84171,921.890335,2229.326472,254625.537,776.7052853,0,73728,1202.765022,146109.957,12160,1534.341958,5823.781152,670108.3086,3635.106022,0
10/19/2012,166920.1389,126884.238,13903.2144,1291489.571,38166,153323.6152,125993.9959,33534.67974,441159.5168,32140.43954,324945.9,21413.09047,35716.04653,104233.54,26878.56666,160432.6998,118766.8742,31947.82836,266177.5855,1451.662541,5852,14635.15189,888.9471074,3635.650265,5413.186896,3635.106022,4747.978403,25639.10661,0,16995.06474,3318.348048,28125.96201,762.080442,24145.63054,7676.961853,2182.951397,127586.5182,2185.508852,2677.542082,20347.53631,13800,112452.1615,14797.8302,26505.09564,7211.471722,244679.9258,14415.26563,171429.4684,16567.09079,23861.45616,8143.881612,720.7681364,15638.4,66295.37631,5544.076535,12782.81586,5306.656055,14125.0689,2958.762,28283.40785,139639.7037,11941.8957,3302.627543,1577.975866,24391.18491,2580.848273,250.84171,921.890335,2522.23068,248382.0537,762.9582891,0,79074,1243.713631,144022.333,12320,1526.579688,5771.783106,693356.2399,3642.596542,0
10/26/2012,154790.1578,128121.63,13154.77494,1272441.053,38829,151818.5981,128278.9328,33592.51477,426596.1359,32432.33587,327125.7,21700.55234,33961.4805,101006.0927,27122.37012,161654.0983,120033.8664,31753.84342,265315.0631,1451.662541,5951.275,14924.60544,888.9471074,3635.650265,5335.112085,3642.596542,4159.17897,25423.68,0,17333.06847,3318.348048,26629.43195,774.573564,24151.98465,7415.56918,2188.275669,130042.237,2098.08881,2670.86492,20269.8026,13700,115291.5307,14644.86386,27814.60317,7286.133731,234012.681,14415.26563,168265.6188,16724.49783,24358.56983,8803.183895,713.7993837,15457.55717,66949.41141,5544.076535,12550.06913,5306.656055,14262.82965,2977.254263,29137.05,135236.1914,12500.67424,3702.7703,1687.931073,24416.31936,2667.913034,250.84171,996.6382,2522.23068,243563.7133,776.7052853,0,79236,1229.261181,140036.869,12160,1526.579688,5993.641436,688387.2164,3621.0262,0
