Fecha,BMV: AMX L,BMV: CEMEX CPO,BMV: FEMSA UBD,BMV: GAP B,BMV: GRUMA B,BMV:AUTLAN B,BMV:GFNORTE O,BMV:GISSA A,BMV:HERDEZ *,BMV:VITRO A,Z: CETES,BMV: NAFTRAC
8/24/2012,16.85,8.72065,109.8,52.41,36.3,13.16832,68.32,16.1,31.4,16.4,0.924622956,40.189999
8/31/2012,16.77,8.09598,111.01,52.08,35.89,13.17822,67.22,16.2,31.28,16.2,0.924965517,39.470001
9/7/2012,16.4,8.60558,112.23,53.8,33.88,13.59406,68.61,16.98,31.9,16.2,0.925308204,40.080002
9/14/2012,16.3,8.72886,115.68,52.5,35.32,14.15842,71.9,20.1,32.05,15.6,0.925651019,40.689999
9/21/2012,16.4,8.94256,118.05,51.29,35,14.45545,69.8,20.5,33.3,15.7,0.925993961,40.369999
9/28/2012,16.88,8.7864,118.7,54,36.37,14.23762,72.75,20.2,33.06,15.65,0.92633703,40.84
10/5/2012,16.62,9.53435,121.55,54.36,37.7,13.33663,77.52,20.2,34.6,16.05,0.926680226,41.939999
10/12/2012,16.97,9.33709,119.65,55.5,36.51,13.28713,76.85,20.3,35.15,16.01,0.927023549,41.68
10/19/2012,16.7,9.47682,123.1,60.13,37.91,13.34653,73.68,21,35.95,16.51,0.927366999,42.400002
10/26/2012,16.56,9.66586,119.22,60.94,38.5,13.37624,72.26,23,35.8,17,0.927710576,41.84
11/2/2012,15.7,10.05217,118.18,62.13,38.09,13.29703,73.45,23.45,35.51,19.1,0.928054281,41.84
11/9/2012,15.31,9.38641,116.7,64.49,36.82,12.81188,70.67,23.2,36.02,18.95,0.928398113,40.66
11/16/2012,15.7,9.27134,122.14,64.4,36.2,12.85149,71.99,23.4,35.7,17.52,0.928742073,40.830002
11/23/2012,15.26,9.71518,126.4,64.81,37.51,12.73267,74.04,23.3,35.92,17.9,0.92908616,41.939999
11/30/2012,14.79,9.4686,126.48,66.13,36.44,12.62376,73.86,23.51,36.23,17.01,0.929430374,41.959999
12/7/2012,15.15,9.58367,128.01,68,37.11,12.46535,79.2,23.44,35.95,16.8,0.929774716,42.799999
12/14/2012,14.99,9.65764,125.83,69.14,38.8,12.63366,81.56,24,38.28,16.21,0.930119186,43.049999
12/21/2012,14.98,10.38916,128.64,72.85,38.82,13.36634,81.4,23.51,39.43,15.92,0.930463783,43.619999
12/28/2012,15.43,10.38094,130.22,73.05,39.25,13.30693,83.37,23.55,39.5,16.27,0.930808508,43.66
1/4/2013,15.51,10.82478,129.4,74.5,39.75,13.26733,83.8,24.55,40.77,16.65,0.93115336,44.52
1/11/2013,15.54,10.90697,133.74,75.08,42.56,14.0396,84.94,25.3,40.72,18.7,0.93149834,44.860001
1/18/2013,15.85,10.7919,135.05,77.58,43.87,13.81188,89.38,27.5,40.01,18.95,0.931843448,45.200001
1/25/2013,16.18,11.17821,138.23,78.61,43.35,13.56436,89.4,27.02,39.73,18.4,0.932188684,45.52
2/1/2013,15.97,11.35903,139.79,79,42.3,13.81188,87.62,30.45,40.18,20.54,0.932534048,45.77
2/8/2013,14.25,10.89875,138.85,78.91,41.72,13.17822,87.85,30.01,39.53,21.61,0.93287954,45.07
2/15/2013,13.95,11.40013,140.31,79.96,41.38,12.27723,86.9,30,38.54,25.95,0.93322516,44.18
2/22/2013,13.34,10.84944,144.92,79.69,43.21,12.55446,89.68,30.18,40.1,28.75,0.933570908,43.869999
3/1/2013,13.59,11.53985,139.9,78.49,44.81,11.16832,92.62,30.18,39.3,31.6,0.933916784,43.970001
