Fecha,Cashout
8/24/2012,0.00
8/31/2012,0.00
9/7/2012,0.00
9/14/2012,0.00
9/21/2012,0.00
9/28/2012,0.00
10/5/2012,0.00
10/12/2012,0.00
10/19/2012,0.00
10/26/2012,0.00
11/2/2012,0.00
11/9/2012,0.00
11/16/2012,0.00
11/23/2012,0.00
11/30/2012,0.00
12/7/2012,0.00
12/14/2012,0.00
12/21/2012,0.00
12/28/2012,0.00
1/4/2013,0.00
1/11/2013,0.00
1/18/2013,0.00
1/25/2013,0.00
2/1/2013,0.00
2/8/2013,0.00
2/15/2013,0.00
2/22/2013,0.00
3/1/2013,0.00
3/8/2013,0.00
3/15/2013,0.00
3/22/2013,0.00
3/29/2013,0.00
4/5/2013,0.00
4/12/2013,0.00
4/19/2013,0.00
4/26/2013,0.00
5/3/2013,0.00
5/10/2013,0.00
5/17/2013,0.00
5/24/2013,0.00
5/31/2013,0.00
6/7/2013,0.00
6/14/2013,0.00
6/21/2013,0.00
6/28/2013,0.00
7/5/2013,0.00
7/12/2013,0.00
7/19/2013,0.00
7/26/2013,0.00
8/2/2013,0.00
8/9/2013,0.00
8/16/2013,0.00
8/23/2013,0.00
8/30/2013,0.00
9/6/2013,0.00
9/13/2013,0.00
9/20/2013,0.00
9/27/2013,0.00
10/4/2013,0.00
10/11/2013,0.00
10/18/2013,0.00
10/25/2013,0.00
11/1/2013,0.00
11/8/2013,0.00
11/15/2013,0.00
11/22/2013,0.00
11/29/2013,0.00
12/6/2013,0.00
12/13/2013,0.00
12/20/2013,0.00
12/27/2013,0.00
1/3/2014,0.00
1/10/2014,0.00
1/17/2014,0.00
1/24/2014,0.00
1/31/2014,0.00
2/7/2014,0.00
2/14/2014,0.00
2/21/2014,0.00
2/28/2014,0.00
3/7/2014,0.00
3/14/2014,0.00
3/21/2014,0.00
3/28/2014,0.00
4/4/2014,0.00
4/11/2014,0.00
4/18/2014,0.00
4/25/2014,0.00
5/2/2014,0.00
5/9/2014,0.00
5/16/2014,0.00
