Fecha,BMV: AMX L,BMV: CEMEX CPO,BMV: FEMSA UBD,BMV: GAP B,BMV: GRUMA B,BMV:AUTLAN B,BMV:GFNORTE O,BMV:GISSA A,BMV:HERDEZ *,BMV:VITRO A,Z: CETES,BMV: NAFTRAC
8/24/2012,0.033,0.12,0.12,0.08,0.16,0.04,0.07,0.18,0.08,0.165,0.02667507,0.0792
8/31/2012,0.033,0.12,0.12,0.08,0.16,0.04,0.07,0.18,0.08,0.165,0.02667507,0.0792
9/7/2012,0.033,0.12,0.12,0.08,0.16,0.04,0.07,0.18,0.08,0.165,0.02667507,0.0792
9/14/2012,0.033,0.12,0.12,0.08,0.16,0.04,0.07,0.18,0.08,0.165,0.02667507,0.0792
9/21/2012,0.033,0.12,0.12,0.08,0.16,0.04,0.07,0.18,0.08,0.165,0.02667507,0.0792
9/28/2012,0.033,0.12,0.12,0.08,0.16,0.04,0.07,0.18,0.08,0.165,0.02667507,0.0792
10/5/2012,0.033,0.12,0.12,0.08,0.16,0.04,0.07,0.18,0.08,0.165,0.02667507,0.0792
10/12/2012,0.033,0.12,0.12,0.08,0.16,0.04,0.07,0.18,0.08,0.165,0.02667507,0.0792
10/19/2012,0.033,0.12,0.12,0.08,0.16,0.04,0.07,0.18,0.08,0.165,0.02667507,0.0792
10/26/2012,0.033,0.12,0.12,0.08,0.16,0.04,0.07,0.18,0.08,0.165,0.02667507,0.0792
11/2/2012,0.033,0.12,0.12,0.08,0.16,0.04,0.07,0.18,0.08,0.165,0.02667507,0.0792
11/9/2012,0.033,0.12,0.12,0.08,0.16,0.04,0.07,0.18,0.08,0.165,0.02667507,0.0792
11/16/2012,0.033,0.12,0.12,0.08,0.16,0.04,0.07,0.18,0.08,0.165,0.02667507,0.0792
11/23/2012,0.033,0.12,0.12,0.08,0.16,0.04,0.07,0.18,0.08,0.165,0.02667507,0.0792
11/30/2012,0.033,0.12,0.12,0.08,0.16,0.04,0.07,0.18,0.08,0.165,0.02667507,0.0792
12/7/2012,0.033,0.12,0.12,0.08,0.16,0.04,0.07,0.18,0.08,0.165,0.02667507,0.0792
12/14/2012,0.033,0.12,0.12,0.08,0.16,0.04,0.07,0.18,0.08,0.165,0.02667507,0.0792
12/21/2012,0.033,0.12,0.12,0.08,0.16,0.04,0.07,0.18,0.08,0.165,0.02667507,0.0792
12/28/2012,0.033,0.12,0.12,0.08,0.16,0.04,0.07,0.18,0.08,0.165,0.02667507,0.0792
1/4/2013,0.033,0.12,0.12,0.08,0.16,0.04,0.07,0.18,0.08,0.165,0.02667507,0.0792
1/11/2013,0.033,0.12,0.12,0.08,0.16,0.04,0.07,0.18,0.08,0.165,0.02667507,0.0792
1/18/2013,0.033,0.12,0.12,0.08,0.16,0.04,0.07,0.18,0.08,0.165,0.02667507,0.0792
1/25/2013,0.033,0.12,0.12,0.08,0.16,0.04,0.07,0.18,0.08,0.165,0.02667507,0.0792
2/1/2013,0.033,0.12,0.12,0.08,0.16,0.04,0.07,0.18,0.08,0.165,0.02667507,0.0792
