Fecha,BMV: AMX L,BMV: CEMEX CPO,BMV: FEMSA UBD,BMV: GAP B,BMV: GRUMA B,BMV:AUTLAN B,BMV:GFNORTE O,BMV:GISSA A,BMV:HERDEZ *,BMV:VITRO A,Z: CETES,BMV: NAFTRAC
8/24/2012,1283108.223,115766.5172,393282.8493,27809.75944,20483.0668,3573.083433,159239.342,6031.117477,13564.8,5719.78506,1000,0
8/31/2012,1290727.631,106083.1027,397862.979,27624.00723,20229.42398,3597.353734,156494.2372,6136.006477,13543.2,5650.454332,1000,0
9/7/2012,1280822.401,113916.964,401512.7698,28611.14755,19158.48763,3716.006117,160309.4676,6649.213368,13780.8,5636.588186,1000,0
9/14/2012,1251868.652,115331.266,415968.8039,27772.609,19987.05418,3856.235127,167218.7568,7623.18265,13858.56,5407.796784,1000,0
9/21/2012,1242725.363,118704.1987,422588.5225,27204.73796,19795.41294,3942.528016,161356.3296,7840.45272,14368.32,5445.928684,1000,0
9/28/2012,1252630.593,116528.207,424234.5066,28791.59255,20528.15886,3888.59462,169265.9536,7641.912828,14307.84,5425.129466,1000,0
10/5/2012,1286917.927,126646.8728,436257.3468,28908.35108,21277.8143,3648.590733,180479.0088,7604.452471,14999.04,5567.257458,1000,0
10/12/2012,1267107.467,123600.3785,428993.5475,29486.83654,20629.61599,3621.624035,179199.5108,7866.67497,15167.52,5823.781152,1000,0
10/19/2012,1291489.571,125993.9959,441159.5168,32140.43954,21413.09047,3635.106022,171429.4684,8143.881612,15638.4,5771.783106,1000,0
10/26/2012,1272441.053,128278.9328,426596.1359,32432.33587,21700.55234,3642.596542,168265.6188,8803.183895,15457.55717,5993.641436,1000,0
11/2/2012,1259568.282,133066.2998,422874.7806,32973.67088,21469.45554,3621.0262,170871.142,8784.453717,15332.34232,6621.084524,1000,0
11/9/2012,1196437.746,124579.5616,418294.651,34151.87061,20747.98264,3502.393404,164752.8152,8690.802824,15479.14594,6569.086478,1000,0
11/16/2012,1169816.436,122947.5016,437116.1211,34130.64179,20539.43187,3502.393404,167637.5016,8765.723538,15565.50101,6510.155359,1000,0
11/23/2012,1192634.702,128496.5584,453898.0023,34645.44077,21165.08416,3467.340577,172639.1756,8728.263181,15582.77202,6374.96044,1000,0
11/30/2012,1162210.347,125341.2513,453218.1394,35181.46857,20584.52393,3448.46891,172429.8032,8971.755502,15561.18325,5893.11188,1000,0
12/7/2012,1127222.34,126755.6856,458478.132,36179.2233,20900.16833,3378.365979,183852.2308,8780.707681,15539.59449,5823.781152,1000,0
12/14/2012,1153843.65,127626.0558,450892.2923,36794.8592,21914.7396,3459.25272,189598.34,8990.48568,16601.76182,5622.722041,1000,0
12/21/2012,1142434.517,138071.1601,460947.1081,38540.92997,21976.74118,3664.166884,189761.1852,8990.48568,17011.9484,5615.788968,1000,0
12/28/2012,1140913.299,137744.854,467459.4799,38976.12086,22162.74592,3621.0262,195228.1312,9140.327108,17098.30346,5640.054723,1000,0
1/4/2013,1177422.525,143837.7102,462950.9148,39559.91352,22512.20936,3634.505962,194972.2316,9552.391035,17638.02264,5820.314616,1000,0
1/11/2013,1181986.178,144817.0256,480376.8767,39814.65941,24146.79642,3836.724174,197856.918,9477.470321,17594.84511,6576.019551,1000,0
1/18/2013,1183507.396,143076.1528,483454.1513,41327.21312,24732.99315,3758.7814,207976.584,10301.59818,17309.87338,6579.486087,1000,0
1/25/2013,1213171.141,148189.8259,495405.4271,41746.4824,24411.71225,3686.188716,208837.3372,11230.61503,17266.69585,6413.09234,1000,0
2/1/2013,1231425.754,150801.2013,500772.7665,42176.36608,23836.78853,3750.71615,204021.772,11425.40889,17361.68642,7186.129957,1000,0
2/8/2013,1216213.577,144992.5978,497838.6209,41831.39769,23554.96317,3535.621084,203789.136,11275.56746,17093.98571,7491.18516,1000,0
2/15/2013,1082251.07,151761.7679,502526.0974,41629.72386,23346.41241,3382.36775,202253.7384,11238.1071,16627.66834,9134.323414,1000,0
2/22/2013,1057981.95,144119.2036,519057.5027,42303.73903,24282.07259,3430.761967,209279.3456,11582.74238,17383.68,10052.95556,1000,0
3/1/2013,1010202.12,153072.0584,500736.9842,41751.7896,20533.47224,3210.292973,215746.4205,11421.66285,17025.12,10725.46362,1000,0
3/8/2013,1031437.6,164972.8011,497588.1451,41385.59239,21900.846,3136.426611,209744.4174,11290.5516,17409.6,12236.87349,1000,0
3/15/2013,879755.6,168684.8924,498053.3145,36476.42684,24086.81476,3119.382514,229541.7222,11204.39278,18368.64,10309.47925,1000,0
3/22/2013,954079.78,164972.8011,475725.1826,36885.0817,25824.61419,3048.356835,221539.0514,11140.71017,18576,10410.00881,1000,0
