Fecha,BMV: AMX L,BMV: CEMEX CPO,BMV: FEMSA UBD,BMV: GAP B,BMV: GRUMA B,BMV:AUTLAN B,BMV:GFNORTE O,BMV:GISSA A,BMV:HERDEZ *,BMV:VITRO A,Z: CETES,BMV: NAFTRAC
8/24/2012,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000074,0.000000
8/31/2012,0.005921,-0.087353,0.011579,-0.006702,-0.012460,0.006770,-0.017389,0.017242,-0.001594,-0.012195,0.000074,-0.017915
9/7/2012,-0.007704,0.071247,0.009132,0.035111,-0.054392,0.032451,0.024087,0.080324,0.017392,-0.002457,0.000074,0.015455
9/14/2012,-0.022865,0.012339,0.035371,-0.029746,0.042339,0.037042,0.042197,0.136695,0.005627,-0.041437,0.000074,0.015219
9/21/2012,-0.007331,0.028826,0.015789,-0.020659,-0.009635,0.022131,-0.035688,0.028103,0.036123,0.007027,0.000074,-0.007864
9/28/2012,0.007939,-0.018501,0.003887,0.056692,0.036347,-0.013774,0.047856,-0.025649,-0.004218,-0.003827,0.000074,0.011642
10/5/2012,0.027004,0.083269,0.027946,0.004047,0.035867,-0.063707,0.064143,-0.004914,0.047179,0.025861,0.000074,0.026934
10/12/2012,-0.015513,-0.024349,-0.016790,0.019813,-0.030937,-0.007418,-0.007115,0.033902,0.011170,0.045047,0.000074,-0.006199
10/19/2012,0.019060,0.019181,0.027965,0.086171,0.037275,0.003716,-0.044328,0.034631,0.030573,-0.008969,0.000074,0.017275
10/26/2012,-0.014859,0.017973,-0.033569,0.009041,0.013335,0.002224,-0.018628,0.077847,-0.011111,0.037718,0.000074,-0.013208
11/2/2012,-0.008419,0.036640,-0.008762,0.016553,-0.010706,-0.005939,0.015366,-0.002130,-0.008134,0.099560,0.000074,0.000000
11/9/2012,-0.051420,-0.065903,-0.010890,0.035108,-0.034182,-0.033311,-0.036463,-0.010718,0.009529,-0.007884,0.000074,-0.028203
11/16/2012,-0.022502,-0.013187,0.044013,-0.000622,-0.010102,0.000000,0.017358,0.008584,0.005563,-0.009011,0.000074,0.004181
11/23/2012,0.019318,0.044145,0.037674,0.014971,0.030006,-0.010059,0.029400,-0.004283,0.001109,-0.020985,0.000074,0.027186
11/30/2012,-0.025841,-0.024862,-0.001499,0.015353,-0.027813,-0.005458,-0.001214,0.027515,-0.001386,-0.078594,0.000074,0.000477
12/7/2012,-0.030567,0.011221,0.011539,0.027966,0.015218,-0.020538,0.064142,-0.021524,-0.001388,-0.011834,0.000074,0.020019
12/14/2012,0.023342,0.006843,-0.016684,0.016873,0.047402,0.023660,0.030775,0.023610,0.066118,-0.035134,0.000074,0.005841
12/21/2012,-0.009937,0.078665,0.022055,0.046363,0.002825,0.057548,0.000859,0.000000,0.024407,-0.001234,0.000074,0.013240
12/28/2012,-0.001332,-0.002366,0.014029,0.011228,0.008428,-0.011844,0.028402,0.016529,0.005063,0.004312,0.000074,0.000917
1/4/2013,0.031499,0.043283,-0.009692,0.014867,0.015645,0.003716,-0.001312,0.044095,0.031078,0.031461,0.000074,0.019698
1/11/2013,0.003868,0.006785,0.036950,0.006419,0.070094,0.054146,0.014687,-0.007874,-0.002451,0.122075,0.000074,0.007637
1/18/2013,0.001286,-0.012094,0.006386,0.037286,0.023986,-0.017725,0.049881,0.083382,-0.016329,0.000527,0.000074,0.007579
1/25/2013,0.024755,0.035117,0.024420,0.010094,-0.013075,-0.019502,0.004130,0.086344,-0.002498,-0.025615,0.000074,0.007080
2/1/2013,0.014935,0.017468,0.010776,0.010245,-0.023833,0.017354,-0.023329,0.017196,0.005486,0.113811,0.000074,0.005492
2/8/2013,-0.012430,-0.042748,-0.005876,-0.008213,-0.011894,-0.059058,-0.001141,-0.013202,-0.015539,0.041574,0.000074,-0.015294
2/15/2013,-0.113804,0.045629,0.009372,-0.004833,-0.008893,-0.044313,-0.007563,-0.003328,-0.027659,0.198312,0.000074,-0.019747
2/22/2013,-0.022680,-0.051671,0.032367,0.016061,0.039295,0.014206,0.034147,0.030206,0.043944,0.095828,0.000074,-0.007017
3/1/2013,-0.046213,0.060268,-0.035934,-0.013133,0.041379,-0.121512,0.030435,-0.014004,-0.020842,0.064754,0.000074,0.002280
3/8/2013,0.020803,0.074872,-0.006308,-0.008810,0.064469,-0.023278,-0.028214,-0.011546,0.022332,0.131833,0.000074,0.007278
3/15/2013,-0.159065,0.022252,0.000934,-0.126267,0.095139,-0.005449,0.090195,-0.007660,0.053623,-0.171390,0.000074,-0.037029
3/22/2013,0.081103,-0.022252,-0.045867,0.011141,0.069663,-0.023032,-0.035486,-0.005700,0.011226,0.009704,0.000074,0.000703
3/29/2013,0.039740,-0.005309,0.044285,0.046664,-0.033493,0.013883,0.035587,-0.035596,0.054312,0.026940,0.000074,0.000000
4/5/2013,-0.059003,0.007292,0.030263,0.092159,-0.020722,-0.001840,-0.076637,-0.010508,-0.025883,-0.061152,0.000074,0.013355
4/12/2013,0.030330,-0.021362,0.053487,-0.036215,0.000374,0.004593,0.053676,-0.006713,0.007432,0.013009,0.000074,0.017341
4/19/2013,-0.022258,-0.059782,-0.011582,-0.106645,0.003731,-0.087095,-0.011996,0.001417,-0.012644,0.006780,0.000074,-0.028182
4/26/2013,0.011986,0.046359,-0.075123,-0.033344,0.169643,0.067659,-0.051575,-0.008889,0.038993,-0.003384,0.000074,-0.019411
5/3/2013,0.051095,0.023894,0.025861,0.022304,-0.062069,0.076441,0.000331,0.000000,-0.058265,-0.022280,0.000074,0.015264
5/10/2013,-0.036116,0.007610,-0.018741,-0.003219,0.072076,0.035719,-0.005983,-0.007168,0.003238,0.022280,0.000074,-0.019732
5/17/2013,-0.002350,0.047772,0.021761,-0.011644,-0.061928,0.000000,0.016750,-0.018149,-0.024306,-0.052186,0.000074,0.001198
5/24/2013,-0.016608,-0.058860,-0.058768,-0.005948,-0.007809,-0.116844,-0.051920,0.001464,-0.063230,-0.074108,0.000074,-0.030158
5/31/2013,0.024420,0.039623,0.035071,0.011271,-0.046433,0.005618,-0.060862,-0.001464,0.008032,0.080871,0.000074,0.025666
6/7/2013,0.001555,-0.065745,-0.051339,-0.058295,-0.021013,0.025808,0.006948,-0.011791,0.026885,-0.006406,0.000074,-0.030799
6/14/2013,-0.007800,-0.048361,-0.031244,-0.083932,0.017161,-0.119718,-0.087011,0.009591,-0.064068,-0.040435,0.000074,-0.025323
6/21/2013,-0.013402,-0.013605,-0.046037,-0.006652,0.036681,-0.144285,-0.044163,-0.023775,0.021053,0.003711,0.000074,-0.032348
6/28/2013,0.114603,0.046104,0.092284,0.116203,-0.005426,-0.014321,0.060722,0.018991,0.050531,0.011050,0.000074,0.068176
7/5/2013,-0.024357,-0.010960,-0.000074,-0.032678,0.015687,0.008379,-0.030438,-0.010009,0.013674,-0.011791,0.000074,0.001232
7/12/2013,-0.003632,0.063343,-0.021906,0.031611,-0.011446,0.035132,-0.023934,0.012220,-0.040107,-0.023628,0.000074,-0.008368
7/19/2013,-0.049992,-0.016690,-0.035480,-0.037136,0.003380,-0.070309,0.125673,-0.006277,-0.004225,-0.036325,0.000074,-0.009432
7/26/2013,0.053624,0.035817,0.002206,0.028865,0.091514,-0.087685,-0.010984,-0.019070,0.035718,-0.070934,0.000074,0.029817
8/2/2013,-0.033177,0.023404,0.039496,0.098911,0.060344,0.118084,0.036744,-0.011008,0.036805,0.074470,0.000074,0.025548
8/9/2013,-0.003003,0.015738,0.013821,-0.006149,0.016532,-0.042821,0.058911,-0.008048,0.030343,0.017493,0.000074,0.010913
8/16/2013,-0.001505,0.013571,-0.060900,-0.028579,-0.034669,-0.013845,-0.068778,-0.035641,0.010951,0.043362,0.000074,-0.013377
8/23/2013,-0.018238,0.012755,0.004746,-0.032396,0.047419,-0.072257,-0.014075,-0.012437,-0.010951,0.084517,0.000074,-0.028782
8/30/2013,-0.013900,-0.039423,-0.001975,-0.007327,-0.027544,-0.031838,0.011444,-0.052633,-0.041290,-0.024023,0.000074,-0.038207
9/6/2013,-0.009375,-0.009271,0.030446,0.033066,0.062946,0.053401,-0.031389,-0.043485,0.021317,0.057699,0.000074,0.013242
9/13/2013,0.036984,0.009931,0.007183,-0.008311,0.000543,0.058270,0.024780,0.013245,-0.003905,-0.068525,0.000074,0.031164
9/20/2013,-0.026832,0.002631,0.012711,-0.021907,-0.027954,0.098165,0.027236,-0.024419,0.037050,0.026677,0.000074,0.003900
9/27/2013,0.025318,-0.022592,-0.029992,0.016181,0.025234,0.155940,-0.041198,0.021783,-0.006452,0.015267,0.000074,-0.008497
10/4/2013,0.012797,0.002684,-0.000310,0.017082,0.046037,0.010675,0.034370,-0.024033,0.009552,-0.000337,0.000074,0.001959
10/11/2013,0.024382,-0.058658,-0.030769,0.012658,0.033628,-0.144067,-0.032782,0.019626,-0.006210,-0.000337,0.000074,0.001466
10/18/2013,0.007997,-0.014317,-0.041611,-0.021382,0.009012,0.033976,0.009839,-0.021881,-0.022953,-0.006083,0.000074,-0.014641
10/25/2013,-0.010921,0.039581,0.013077,0.014929,0.052906,-0.009746,0.000242,-0.034447,-0.014214,-0.017094,0.000074,0.006934
11/1/2013,0.030993,-0.048998,0.006312,-0.013178,0.060868,-0.003269,0.002896,0.085062,0.049988,0.033235,0.000074,0.010084
11/8/2013,-0.020797,-0.002915,-0.030279,-0.042889,-0.015014,-0.016512,-0.021312,-0.028294,-0.015717,-0.000334,0.000074,-0.029705
11/15/2013,0.035591,0.031612,0.032646,0.004403,0.027173,0.000000,0.041117,-0.006645,0.004008,-0.000668,0.000074,0.029862
11/22/2013,0.053773,-0.020722,-0.029618,-0.006688,0.006789,-0.006681,0.004126,0.021979,-0.022246,0.000668,0.000074,0.003168
11/29/2013,0.007921,0.042409,0.055926,0.049683,0.003921,-0.002238,0.052927,0.021506,0.045311,-0.019202,0.000074,0.030362
12/6/2013,-0.054725,0.029995,-0.038694,0.024654,-0.009941,0.103119,0.025558,0.008475,-0.008067,0.020203,0.000074,-0.011787
12/13/2013,-0.000695,-0.006739,0.010427,-0.030037,0.048429,0.018019,0.026723,0.000000,-0.022135,0.080043,0.000074,-0.001193
12/20/2013,0.019953,0.025369,0.015319,-0.002630,0.016596,-0.040491,-0.042178,0.000000,-0.024239,0.031797,0.000074,0.008359
12/27/2013,0.039404,0.011795,0.025101,0.007578,0.006460,0.030521,-0.005983,-0.029981,0.092157,-0.001491,0.000074,0.012553
1/3/2014,-0.024529,-0.016421,-0.030666,-0.041197,0.060384,0.019842,0.024804,0.021506,-0.015808,0.002087,0.000074,-0.015906
1/10/2014,-0.035523,0.075857,0.020337,0.060607,0.004129,-0.002952,0.012068,-0.021072,0.009094,-0.007475,0.000074,0.008557
1/17/2014,0.004164,0.011596,-0.022685,-0.003137,0.020956,0.058363,-0.034541,0.035855,-0.025804,-0.039173,0.000074,-0.012255
1/24/2014,-0.013245,0.010863,-0.012893,0.018398,-0.012274,0.008329,-0.013281,0.006686,-0.040786,0.014870,0.000072,-0.022906
1/31/2014,0.002103,-0.007834,-0.004775,0.017102,0.032431,-0.021426,-0.052944,-0.000417,-0.058616,-0.000615,0.000076,-0.002198
2/7/2014,-0.006322,0.033317,-0.000413,-0.028384,-0.021472,-0.108295,0.015982,0.020619,-0.064554,0.000000,0.000078,-0.009055
