Key,"Stocks & cash","Dividends account"
09/01/2016,14426168.7114183,0
09/02/2016,14426123.76073,0
09/09/2016,14459459.1488414,0
09/16/2016,14403941.8933614,0
09/23/2016,14260044.3379795,0
09/30/2016,13601019.0947712,0
10/07/2016,13779001.7032657,0
10/11/2016,13779001.7032657,0
10/14/2016,13923783.0666837,0
10/21/2016,14063148.2141593,0
10/28/2016,13523580.0337947,0
11/04/2016,13545145.2325985,0
11/11/2016,13498911.8914921,0
11/18/2016,13134094.7134733,0
11/25/2016,12617264.7772758,0
12/02/2016,12920157.3587297,0
12/09/2016,12878126.4957529,0
12/16/2016,13052751.2015466,0
12/23/2016,13240769.0837971,0
12/30/2016,13702904.9769138,0
12/31/2016,13042932.9297554,0
01/06/2017,13253367.1027332,0
01/13/2017,13173211.0538067,0
01/20/2017,13232769.1993131,0
01/27/2017,12616455.0765337,0
02/03/2017,12742354.8914325,0
02/10/2017,12762376.7499465,0
02/17/2017,12713502.8592575,0
02/24/2017,12145477.3263429,0
03/03/2017,12135542.9684562,0
03/10/2017,12158160.2354426,0
03/17/2017,12400920.7654694,0
03/24/2017,12561419.8735278,0
03/30/2017,12562940.3992829,0
03/31/2017,12100496.1703773,0
04/07/2017,12174843.0964112,0
04/14/2017,12309871.6300375,0
04/21/2017,12232563.5522741,0
04/28/2017,11666668.2645235,0
05/02/2017,11671231.180026,0
05/05/2017,11764074.8933417,0
05/12/2017,11782058.6830046,0
05/19/2017,11726308.7830369,0
05/26/2017,11106155.6283706,0
06/02/2017,11064672.3540888,0
06/09/2017,11040798.246579,0
06/16/2017,10966146.8115625,0
06/23/2017,11087399.4780831,0
06/30/2017,10591287.6976211,0
07/07/2017,10728134.4973578,0
07/14/2017,10750535.3510998,0
07/21/2017,10938462.5775527,0
07/28/2017,10436267.2014432,0
08/04/2017,10271585.7297158,0
08/11/2017,10393633.6109623,0
08/18/2017,10290440.4930972,0
08/25/2017,10278050.8810458,0
08/30/2017,9640972.33718485,0
09/01/2017,9706109.90294449,0
