Key,"BMV: AMX L","BMV: CEMEX CPO","BMV: FEMSA UBD","BMV: GAP B","BMV: GRUMA B","BMV:AUTLAN B","BMV:GFNORTE O","BMV:GISSA A","BMV:HERDEZ *","BMV:VITRO A","BMV: NAFTRAC","Z: CETES",DividendsAccount,"Expected Return","Standard Deviation","Change In Expected Return","Change In Std Dev","Change In Sharpe Ratio","Commission Cost","Spread Cost","Cash Earned","Cash Expended",Cashout
09/01/2016,44577,56946,336,0,0,0,114719,-1,43507,-1,59981,7123937,0,0.0868790501301298,0.166706996065985,0.0868790501301298,0.166706996065985,0.294872268651956,18300.854048625,14090.9967849977,7338843.42760238,7320197.34945,0.223986410505472
09/02/2016,44577,56946,336,0,0,0,114719,-1,43507,-1,59981,7123937,0,0.089320382068989,0.166165084954437,0.0024413319388592,-0.000541911111548027,0.0156538691533322,0,0,0,0,0
09/09/2016,44577,56946,336,0,0,0,114719,-1,43507,-1,59981,7123937,0,0.0894699339300431,0.164449963876599,0.000149551861054142,-0.00171512107783797,0.00413850251454051,0,0,0,0,0
09/16/2016,44577,56946,336,0,0,0,114719,-1,43507,-1,59981,7123937,0,0.0893926645303011,0.160997021543342,-7.72693997419527E-05,-0.00345294233325674,0.0063041253235438,0,0,0,0,0
09/23/2016,44577,56946,336,0,0,0,114719,-1,43507,-1,59981,7123937,0,0.089454247047835,0.16108123359257,6.15825175338536E-05,8.42120492282328E-05,0.000216472813900193,0,0,0,0,0
09/30/2016,42611,54435,321,0,0,0,109661,-1,41588,-1,57336,6809848,0,0.089328959529994,0.159343747705557,-0.000125287517841022,-0.00173748588701378,0.00267493739252656,785.564607075,0,0,0,628812.840990348
10/07/2016,42611,54435,321,0,0,0,109661,-1,41588,-1,57336,6809848,0,0.0910327311114607,0.0902444289940329,0.00170377158146673,-0.0690993187115237,0.246999761197045,0,0,0,0,0
10/11/2016,42611,54435,321,0,0,0,109661,-1,41588,-1,57336,6809848,0,0.0921777862121538,0.0890691543499558,0.00114505510069307,-0.00117527464407709,0.0200253454701828,0,0,0,0,0
10/14/2016,42611,54435,321,0,0,0,109661,-1,41588,-1,57336,6809848,0,0.0921777862121538,0.0881114229250788,0,-0.000957731424876943,0.00612363597135812,0,0,0,0,0
10/21/2016,42611,54435,321,0,0,0,109661,-1,41588,-1,57336,6809848,0,0.092416416702942,0.0887827144805102,0.000238630490788205,0.000671291555431414,-0.00159228764457409,0,0,0,0,0
10/28/2016,40701,51995,306,0,0,0,104745,-1,39723,-1,54766,6504614,0,0.0925826566651342,0.0887361424625225,0.000166239962192227,-4.6572017987731E-05,0.00217486887050622,806.0975522,0,0,0,628869.148070948
11/04/2016,40701,51995,306,0,0,0,104745,-1,39723,-1,54766,6504614,0,0.0926459538874505,0.0885841154030644,6.32972223162387E-05,-0.000152027059458062,0.00169550978446131,0,0,0,0,0
11/11/2016,40701,51995,306,0,0,0,104745,-1,39723,-1,54766,6504614,0,0.0931021193094372,0.0798587736545257,0.000456165421986787,-0.00872534174853877,0.0672053009643452,0,0,0,0,0
11/18/2016,40701,51995,306,0,0,0,104745,-1,39723,-1,54766,6504614,0,0.0863434027068135,0.0828455727722867,-0.00675871660262373,0.00298679911776106,-0.101715295614836,0,0,0,0,0
11/25/2016,38748,49500,291,0,0,0,99719,-1,37817,-1,52138,6192513,0,0.0848211995529402,0.0813667421654889,-0.0015222031538733,-0.00147883060679789,-0.0102569516953257,786.68279295,0,0,0,628785.463934338
12/02/2016,38748,49500,291,0,0,0,99719,-1,37817,-1,52138,6192513,0,0.0858910250268272,0.0862420835235791,0.00106982547388701,0.00487534135809027,-0.0119469793979295,0,0,0,0,0
12/09/2016,38748,49500,291,0,0,0,99719,-1,37817,-1,52138,6192513,0,0.0868342135705418,0.0893679844792596,0.000943188543714557,0.00312590095568048,-0.0038147915067745,0,0,0,0,0
12/16/2016,38748,49500,291,0,0,0,99719,-1,37817,-1,52138,6192513,0,0.087010108379848,0.0871948803572629,0.000175894809306243,-0.00217310412199667,0.012148214038801,0,0,0,0,0
12/23/2016,38748,49500,291,0,0,0,99719,-1,37817,-1,52138,6192513,0,0.0878755391746551,0.0902613212058875,0.000865430794807054,0.00306644084862455,-0.00389856895511931,0,0,0,0,0
12/30/2016,38748,49500,291,0,0,0,99719,-1,37817,-1,52138,6192513,0,0.0884849514697703,0.0975588053916715,0.000609412295115241,0.00729748418578401,-0.0235096259695752,0,0,0,0,0
12/31/2016,91191,61688,0,10284,2461,18315,74972,20609,36075,19390,23053,1070044,0,0.112791232364992,0.146327769579963,0.0243062808952215,0.0487689641882911,0.0431295568619908,24961.2168306375,6523.40395500298,7278684.77966822,7254769.44638,628977.699485918
01/06/2017,91191,61688,0,10284,2461,18315,74972,20609,36075,19390,23053,1070044,0,0.115238000518416,0.14537854978361,0.00244676815342393,-0.00094921979635218,0.0195211714173884,0,0,0,0,0
01/13/2017,91191,61688,0,10284,2461,18315,74972,20609,36075,19390,23053,1070044,0,0.115386473873628,0.145697963130187,0.000148473355212175,0.000319413346576952,6.84344483335431E-05,0,0,0,0,0
01/20/2017,91191,61688,0,10284,2461,18315,74972,20609,36075,19390,23053,1070044,0,0.114898831776034,0.134422531260199,-0.000487642097593888,-0.0112754318699885,0.0326918792865838,0,0,0,0,0
01/27/2017,86851,58752,0,9794,2343,17443,71404,19628,34358,18467,21956,1019125,0,0.115000327987456,0.13430409638767,0.000101496211421859,-0.000118434872529022,0.00116850466247853,1443.93556856,0,0,0,629152.63203833
02/03/2017,86851,58752,0,9794,2343,17443,71404,19628,34358,18467,21956,1019125,0,0.114430974123461,0.134143173560316,-0.000569353863995259,-0.000160922827353471,-0.00368141777851916,0,0,0,0,0
02/10/2017,86851,58752,0,9794,2343,17443,71404,19628,34358,18467,21956,1019125,0,0.114552715874605,0.1301247111127,0.0001217417511441,-0.00401846244761594,0.0151342192658147,0,0,0,0,0
